Chr	Cstart	Orientation	Hit_Count	Span_Count	Nearest_TxStart	TxStart_Gene	Tx_Alt	Within_Gene	Gene_list	Alt_Genes	Gene_Strand	Gene_Feature	Feature_Number
chr17	7595050	-	14	1	-4880	NM_006942	SOX15	Yes	NM_004860	FXR2	-	Intron	9
chr17	40641361	-	1	1	6490	NM_003079	SMARCE1	Yes	NM_003079	SMARCE1	-	Intron	7
chr17	82033114	-	15	1	1459	NM_005052	RAC3	Yes	NM_005052,NM_001316307	RAC3	+	Intron	4
chr17	64652394	-	1	1	9874	NM_022739	SMURF2	Yes	NM_022739	SMURF2	-	Intron	18
chr17	82654572	-	2	1	-6037	NM_019613	WDR45B	No					
chr17	47130605	-	18	1	58707	NM_001256	CDC27	Yes	NM_001293089,NM_001293091,NM_001114091,NM_001256	CDC27	-	Intron	4
chr17	31112810	-	14	1	17884	NM_001128147	NF1	Yes	NM_001128147,NM_001042492,NM_000267	NF1	+	Intron	1
chr16	633989	-	11	1	2377	NM_001288710	C16orf13	Yes	NM_053284	WFIKKN1	+	Exon	2
chr16	89477641	-	6	1	12920	NR_045839	ANKRD11	Yes	NM_001256182,NM_001256183,NR_045839,NM_013275	ANKRD11	-	Intron	9,13,12
chr16	62495503	-	1	1	-307857	NR_028369	RNU6-21P	No					
chr16	1684370	-	40	1	6094	NM_144570	HN1L	Yes	NM_144570	HN1L	+	Intron	1
chr16	1996860	-	1	1	6916	NM_004209	SYNGR3	No					
chr16	89786434	-	19	2	30223	NM_001286167	FANCA	Yes	NM_000135,NM_001286167	FANCA	-	Intron	29
chr16	10431812	-	3	1	2945	NR_045815	ATF7IP2	Yes	NR_045816,NM_001256160,NR_045815,NM_024997	ATF7IP2	+	Intron	3,2,4
chr16	1996874	-	24	1	6930	NM_004209	SYNGR3	No					
chr16	2074487	-	1	1	15797	NR_030646	MIR1225	Yes	NM_000548,NM_001077183,NM_001114382	TSC2	+	Intron	22
chr16	1973201	-	40	3	1139	NM_006453	TBL3	Yes	NM_006453	TBL3	+	Intron	1
chr16	53328342	-	1	1	42787	NM_001207030	LOC643802	No					
chr16	89809764	-	1	1	6893	NM_001286167	FANCA	Yes	NM_000135,NM_001286167,NM_001018112	FANCA	-	Intron	38,6
chr16	2226410	-	24	1	2923	NM_004424	E4F1	Yes	NM_004424,NM_001288776,NM_001288778	E4F1	+	Intron	1
chr16	48124148	-	1	1	22622	NM_033226	ABCC12	Yes	NM_033226	ABCC12	-	Intron	19
chr15	65775143	-	14	1	17150	NM_005848	DENND4A	Yes	NM_005848,NM_001144823	DENND4A	-	Intron	32,31
chr15	41481993	-	39	1	-11864	NM_002220	ITPKA	Yes	NM_015138	RTF1	+	Exon	18
chr15	92997260	-	17	1	75900	NM_001166286	RGMA	Yes	NM_001271	CHD2	+	Exon	30
chr15	65157997	-	3	1	-24161	NM_005707	PDCD7	Yes	NM_006660	CLPX	-	Intron	7
chr15	83174129	-	18	1	33889	NM_016073	HDGFRP3	Yes	NM_016073	HDGFRP3	-	Intron	5
chr15	60273395	-	1	1	124591	NM_004039	ANXA2	No					
chr15	38323001	-	7	1	70151	NM_152594	SPRED1	Yes	NM_152594	SPRED1	+	Intron	3
chr15	76353020	-	14	1	16297	NM_145805	ISL2	Yes	NM_020843,NM_001145923	SCAPER	-	Intron	2
chr14	50209537	-	29	2	21844	NM_006939	SOS2	Yes	NM_006939	SOS2	-	Intron	22
chr14	55484035	-	4	1	-43490	NM_199047	TBPL2	No					
chr19	39473376	-	8	1	-7035	NM_001001563	TIMM50	Yes	NM_001111020,NM_001130825,NM_003169,NM_001130824	SUPT5H	+	Intron	24,23
chr19	3504738	-	33	2	-1558	NM_016263	FZR1	No					
chr19	4405029	-	2	1	2367	NM_005483	CHAF1A	Yes	NM_005483	CHAF1A	+	Intron	1
chr19	47683030	-	10	1	-30313	NM_014601	EHD2	Yes	NM_015711	GLTSCR1	+	Intron	7
chr19	36133526	-	1	1	-6399	NM_001003962	CAPNS1	No					
chr19	3213843	-	14	1	-10859	NM_021938	CELF5	No					
chr19	1357332	-	13	1	1009	NR_024247	MUM1	Yes	NR_024247,NM_032853	MUM1	+	Intron	3,2
chr19	2150518	-	9	2	1039	NM_003938	AP3D1	Yes	NM_003938,NM_001261826	AP3D1	-	Intron	31,29
chr19	36157945	-	30	2	-5076	NM_001864	COX7A1	No					
chr19	787353	-	30	1	-10038	NM_031991	PTBP1	No					
chr19	36157939	-	1	1	-5070	NM_001864	COX7A1	No					
chr19	649275	-	26	2	9350	NM_020637	FGF22	Yes	NM_194460	RNF126	-	Intron	3
chr19	48664040	-	15	1	9041	NM_145807	NTN5	Yes	NM_145807,NR_004401	SEC1P,NTN5	+, -	Intron	3,2
chr19	4092414	-	1	1	-25596	NM_015898	ZBTB7A	Yes	NM_030662	MAP2K2	-	Intron	1
chr18	39182323	-	12	1	439852	NR_030628	MIR924	No					
chr18	8828636	-	7	1	111266	NM_015210	MTCL1	Yes	NM_015210	MTCL1	+	Intron	15
chr18	24597293	-	1	1	-30888	NR_040033	LOC729950	No					
chr18	41743534	-	22	1	-211663	NM_002647	PIK3C3	No					
chr22	29608165	-	1	1	4610	NM_000268	NF2	Yes	NM_016418,NM_181825,NM_181832,NM_181833,NM_181830,NM_181831,NM_000268,NM_181829,NM_181828	NF2	+	Intron	1
chr22	28333617	-	1	1	-126251	NR_106713	MIR5739	Yes	NM_001145418	TTC28	-	Intron	21
chr22	39914971	-	1	1	-11619	NM_001291826	GRAP2	Yes	NM_004810	GRAP2	+	Intron	1
chr20	63723937	-	11	1	-11763	NM_001305654	LIME1	Yes	NM_001195653,NM_181485,NM_001195654,NM_032527,NM_001083113	ZGPAT	+	Intron	2
chr20	47875166	-	2	1	-88550	NM_001161841	SULF2	No					
chr20	38520005	-	16	1	3443	NR_039605	MIR548O2	Yes	NM_020336,NM_001282917,NM_001282918	RALGAPB	+	Intron	9
chr21	24231136	-	6	1	90241	NR_109963	LOC101927869	No					
chr21	37360434	-	5	1	-7122	NM_101395	DYRK1A	No					
chr21	45497725	-	19	2	19460	NR_106873	MIR6815	Yes	NM_130445,NM_130444,NM_030582	COL18A1	+	Intron	32,31
chr7	48626245	-	13	1	-298315	NR_003595	CDC14C	Yes	NM_152701	ABCA13	+	Intron	59
chr7	77569033	-	21	2	30999	NM_001131009	PTPN12	Yes	NM_001131008,NM_002835,NM_001131009	PTPN12	+	Intron	1
chr7	99635787	-	25	1	18840	NM_145115	ZSCAN25	No					
chr7	17346477	-	16	2	-28439	NR_110015	KCCAT333	No					
chr7	30287216	-	6	1	-2577	NR_030319	MIR550A1	Yes	NM_147128	ZNRF2	+	Intron	1
chr7	73636405	-	1	1	-11865	NM_032954	MLXIPL	No					
chr7	154700610	-	7	1	-227906	NR_024477	PAXIP1-AS2	Yes	NM_130797,NM_001936,NM_001290252,NM_001039350	DPP6	+	Intron	5,7
chr6	45148580	-	18	2	49190	NR_030313	MIR586	Yes	NM_001261823,NM_003599,NM_181356	SUPT3H	-	Intron	9,8
chr6	133462567	-	30	2	221069	NM_001301012	EYA4	Yes	NM_172105,NM_001301012,NM_001301013,NM_004100,NM_172103	EYA4	+	Intron	8,7,6
chr6	136724013	-	47	3	68505	NM_005923	MAP3K5	Yes	NM_005923	MAP3K5	-	Intron	29
chr6	85608047	-	14	1	-13891	NM_001304479	SNX14	Yes	NM_001159673,NM_001253771,NM_001159674,NM_001159677,NM_001159676	SYNCRIP	-	Exon	1
chr6	107560820	-	24	2	70708	NM_018013	SOBP	Yes	NM_018013	SOBP	+	Intron	4
chr6	144140470	-	1	1	-10046	NM_003764	STX11	No					
chr6	158236263	-	5	1	67917	NM_207118	GTF2H5	No					
chr6	122719454	-	1	1	-60046	NM_001446	FABP7	Yes	NM_032471,NM_181795,NM_181794,NM_001270393,NM_001270394,NM_001270395	PKIB	+	Intron	3,4,7,6
chr5	18565792	-	21	1	-1178482	NR_033975	LOC401177	No					
chr5	174743585	-	1	1	-8148	NR_039777	MIR4634	No					
chr5	154965137	-	26	2	24065	NM_001014990	MRPL22	Yes	NM_001014990,NM_014180	MRPL22	+	Intron	5,6
chr5	90956617	-	12	1	357785	NR_103548	LUCAT1	Yes	NM_032119,NR_003149	ADGRV1	+	Intron	83
chr5	100865671	-	32	2	37614	NM_175052	ST8SIA4	Yes	NM_005668	ST8SIA4	-	Intron	2
chr5	88874540	-	2	1	-8789	NR_109941	MEF2C-AS1	Yes	NM_001193347,NM_002397,NM_001193350,NM_001131005	MEF2C	-	Intron	9,10
chr5	56145709	-	18	3	87650	NM_024669	ANKRD55	Yes	NM_024669	ANKRD55	-	Intron	6
chr5	15726672	-	1	1	-111670	NR_109945	CTD-2350J17.1	Yes	NM_001278317,NM_012304	FBXL7	+	Intron	2
chr5	8466673	-	1	1	5749	NR_039663	MIR4458	No					
chr5	138509683	-	1	1	32028	NM_001291974	ETF1	Yes	NM_004730,NM_001282185,NM_001256302,NM_001291975,NM_001291974	ETF1	-	Intron	2
chr5	94650113	-	1	1	31428	NM_032290	SLF1	Yes	NM_032290	SLF1	+	Intron	6
chr5	76881567	-	16	1	31567	NM_130772	S100Z	Yes	NM_130772	S100Z	+	Intron	4
chr4	2871535	-	12	1	27386	NM_001286645	ADD1	Yes	NM_176801,NM_001286645,NM_014190,NM_014189,NM_001119	ADD1	+	Intron	1,2
chr4	31273777	-	1	1	102634	NR_125935	LOC102723778	No					
chr4	41860115	-	10	1	22496	NR_104143	LINC00682	No					
chr3	113001345	-	1	1	10393	NM_138485	GTPBP8	Yes	NM_014170,NM_138485	GTPBP8	+	Exon	5,6
chr3	10149250	-	13	1	7616	NM_198156	VHL	Yes	NM_000551,NM_198156	VHL	+	Intron	1,2
chr3	125082244	-	1	1	-26286	NM_020733	HEG1	No					
chr3	45723526	-	4	2	34265	NM_014016	SACM1L	Yes	NM_014016	SACM1L	+	Exon	11
chr3	101113482	-	1	1	-119992	NM_015429	ABI3BP	No					
chr3	71008568	-	35	1	56355	NM_001244813	FOXP1	Yes	NM_001244816,NM_001244814,NM_001244815,NM_001244812,NM_001244813,NM_001244810,NM_001244808,NM_032682	FOXP1	-	Intron	9
chr3	49776047	-	29	1	10147	NM_001242829	IP6K1	Yes	NM_153273,NM_001006115,NM_001242829	IP6K1	-	Intron	5,4
chr3	193262647	-	16	2	20869	NR_026877	MGC2889	Yes	NM_020386	HRASLS	+	Intron	2
chr3	49087800	-	3	1	6271	NM_198880	QRICH1	Yes	NM_198880,NM_017730	QRICH1	-	Intron	9
chr3	49965384	-	14	2	25341	NM_001167582	RBM6	Yes	NM_001167582,NM_005777	RBM6	+	Intron	2
chr3	47629265	-	8	2	-49025	NM_001206942	CSPG5	Yes	NM_003074	SMARCC1	-	Intron	4
chr3	59665898	-	1	1	-615909	NM_198463	C3orf67	No					
chr3	158662267	-	34	2	10426	NM_020169	LXN	Yes	NM_024996,NM_001308164,NM_001308166	GFM1	+	Intron	11,10
chr2	233539210	-	37	2	26380	NM_018218	USP40	Yes	NM_018218	USP40	-	Intron	22
chr2	172030732	-	18	1	30836	NM_199227	METAP1D	Yes	NM_199227	METAP1D	+	Intron	1
chr2	25210734	-	1	1	6422	NR_132378	LINC01381	No					
chr2	72559727	-	1	1	266321	NM_015189	EXOC6B	Yes	NM_015189	EXOC6B	-	Intron	15
chr2	47619283	-	1	1	-48952	NM_022055	KCNK12	No					
chr2	197368182	-	1	1	-57385	NM_153697	ANKRD44	No					
chr1	23311744	-	12	1	-26226	NR_110616	LINC01355	Yes	NM_001102398,NM_001102399,NM_005826,NM_001102397,NM_001297621,NM_001297620,NM_001297622	HNRNPR	-	Intron	2
chr1	179506562	-	1	1	69390	NM_014625	NPHS2	Yes	NR_073544,NM_144696	AXDND1	+	Intron	19,20
chr1	212869401	-	15	1	11147	NM_014053	FLVCR1	Yes	NM_014053	FLVCR1	+	Intron	2
chr1	183529625	-	10	2	57255	NM_201569	SMG7	Yes	NM_201569,NM_201568,NM_173156,NM_001174061	SMG7	+	Intron	8,7
chr1	225929500	-	12	2	-5160	NM_013328	PYCR2	No					
chr1	113769953	-	39	1	-10798	NM_006608	PHTF1	Yes	NR_130896,NM_018364	RSBN1	-	Intron	3
chr1	35764040	-	23	1	5910	NM_001190481	CLSPN	Yes	NM_022111,NM_001190481	CLSPN	-	Intron	21,22
chr1	20897506	-	11	1	90926	NR_031657	MIR1256	Yes	NM_001198801,NM_003760,NM_001198802	EIF4G3	-	Intron	21,22
chr1	27471465	-	9	6	18722	NM_006990	WASF2	Yes	NM_001201404,NM_006990	WASF2	-	Intron	8,7
chr1	100902258	-	22	1	6181	NM_133496	SLC30A7	Yes	NM_133496,NM_001144884	SLC30A7	+	Intron	2
chr1	23048563	-	11	1	4259	NR_036057	MIR3115	Yes	NM_015013,NM_001009999	KDM1A	+	Intron	3,2
chr9	133047329	-	25	2	-4666	NR_106937	MIR6877	Yes	NM_001286709,NM_001122823,NM_012087	GTF3C5	+	Intron	1,3
chr9	83992231	-	6	1	11510	NM_024945	RMI1	Yes	NM_024945	RMI1	+	Intron	1
chr9	101842760	-	1	1	-104180	NM_133445	GRIN3A	No					
chr9	3522411	-	19	1	3590	NM_134428	RFX3	Yes	NM_134428,NM_001282116	RFX3	-	Intron	17,16
chr9	128563470	-	26	2	10913	NM_001195532	SPTAN1	Yes	NM_001195532,NM_001130438,NM_003127,NR_031672	SPTAN1,MIR1268A	+	Intron	1,2
chr9	136835091	-	16	1	4135	NR_036251	MIR4292	Yes	NM_024718,NM_001173988	RABL6	+	Intron	7
chr9	37145236	-	20	1	24639	NM_001289121	ZCCHC7	Yes	NM_032226,NM_001289119,NM_001289121,NM_001289120,NR_110317	ZCCHC7	+	Intron	1,2
chr9	129117368	-	10	1	5681	NM_001193397	PPP2R4	Yes	NM_178003,NM_001271832,NM_178000,NM_021131,NM_001193397,NM_178001	PPP2R4	+	Intron	1,2
chr9	70276543	-	41	1	17582	NM_015110	SMC5	Yes	NM_015110	SMC5	+	Intron	3
chr8	140854535	-	2	2	-121882	NR_029892	MIR151A	Yes	NM_153831,NM_005607,NM_001199649	PTK2	-	Intron	27,28
chr8	144248204	-	1	1	14533	NR_107057	MIR7112	Yes	NM_032450,NM_001288814	MROH1	+	Intron	31,29
chr8	19548312	-	1	1	54233	NM_001130518	CSGALNACT1	Yes	NM_001130518,NR_024040,NM_018371	CSGALNACT1	-	Intron	8,7
chr8	69774237	-	1	1	58932	NM_001146009	SLCO5A1	Yes	NM_030958,NM_001146008,NM_001146009	SLCO5A1	-	Intron	8,7
chr8	145049762	-	11	1	-2675	NM_023080	C8orf33	No					
chr8	78523043	-	22	2	6943	NM_006823	PKIA	Yes	NM_006823,NM_181839	PKIA	+	Intron	1
chr8	122488752	-	1	1	79892	NR_131202	LOC105375734	Yes	NR_131202	LOC105375734	-	Intron	2
chr8	143967923	-	12	1	5606	NM_201378	PLEC	Yes	NM_201378,NM_000445	PLEC	-	Intron	31
chr8	144011318	-	12	1	-1095	NM_001134374	SPATC1	No					
chr8	17266103	-	1	1	19212	NM_152415	VPS37A	Yes	NM_152415,NM_001145152	VPS37A	+	Intron	1,2
chr8	66444863	-	1	1	12381	NM_144650	ADHFE1	Yes	NM_144650	ADHFE1	+	Intron	5
chr8	144384453	-	22	2	9777	NR_030635	MIR939	Yes	NM_174922	ADCK5	+	Intron	3
chr8	143997780	-	13	1	7723	NM_000837	GRINA	No					
chr8	144100834	-	14	2	3401	NR_038270	SHARPIN	Yes	NM_030974,NR_038270	SHARPIN	-	Intron	7,6
chr8	143338235	-	8	2	-3344	NM_052963	TOP1MT	Yes	NM_001258446,NM_001258447	TOP1MT	-	Intron	13
